"","c281b48a9ac15ab8db31d16fd7f6061a","ac497e41b16230691a63a326f1520573","X67b1a0b8a0351166d4e8978b1640913a","X861046dc390acf5d219614c8471a9a35","fc09aae0332019d4c733aeeaffb3ab07","X54a82865c7fb0a242e0e52c1629dcfa1","X6621ec621365d2e452925f53b69d7fa8","X0ab462899af75a39915e9dc4a0b872c2","fa479e1e8d76ccfafce1e9c8b17399a1","eaf307555b1ef040e7155ad169ba3637","b726c83a8023ca819ac68b75921d588e","ba63b0f31c182217ace0bd6fc39b027b","X931bb825089e4e983501f63d6b0ab6e2","X663353c380a5a14d9f0b5afdb3afbe08","e7d24fb78850aa4194897270760d7f9f","X020dfe956e6e2e235703c7a5d833ec20","X20ff23552df9cf3f03ec93dfd095b42c","X10819d4184b7fe808f57b65a0e9174d1","e6bb66b5a45fe0fda71582bc237bd3df","X99a30d2e520c0bb462c9d36594b679ef"
"L.2016.NAM-72.09.R",0,0,0,0,0,0,0,0,0,0,0,0,118.2307361489,0,0,0,0,1836.5560250498,0,0
"L.2016.NAM-76.09.R",0,0,0,0,0,0,0,0,150.548136355211,75.2740681776054,0,0,0,0,0,0,0,4952.24132747404,0,0
"L.2016.NAM-79.09.R",0,0,0,0,0,1835.04075865828,0,0,395.063679326811,0,0,0,592.595518990217,0,0,0,0,4106.99598366377,359.221208420145,611.680252886093
"L.2016.YN04-C1213.09.R",0,0,0,0,0,0,0,0,0,2050.33048764548,0,0,0,0,0,0,0,767.163484936026,410.066097529095,1150.74522740404
"L.2017.NAM-0.09.R",0,0,0,0,0,17980.8340655074,0,0,0,13917.4123019901,0,0,0,0,0,0,0,158338.639779452,3269.24255736499,0
"L.2017.NAM-13.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072458.38795723,2407.75296454584,0
"L.2017.NAM-14.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98370.5533685882,11287.8087324225,2620.20175553518
"L.2017.NAM-17.09.R",0,0,0,0,0,12287.8427156132,0,0,4688.78208885242,12287.8427156132,0,0,0,0,0,0,147215.735071789,1220671.14464012,14066.3462665573,13705.6707212609
"L.2017.NAM-23.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252321.078786924,0,0
"L.2017.NAM-30.09.R",0,0,0,0,0,17277.4515758926,0,0,0,3266.35051143621,0,0,0,0,0,0,0,125501.815883997,1671.03136578093,1660.00359667446
"L.2017.NAM-32.09.R",0,995.383907130682,0,0,0,7631.27662133523,0,0,0,10949.2229784375,7963.07125704545,0,0,0,0,0,26352.4044110778,46402.6495514275,2654.35708568182,6700.31857819606
"L.2017.NAM-37.09.R",0,0,0,0,0,13953.3635656211,0,1073.33565889393,0,0,0,0,0,0,0,0,0,57669.5965873967,0,5366.67829446964
"L.2017.NAM-43.09.R",0,0,0,0,0,2451.93191802374,0,0,0,1705.01166867361,0,0,0,0,0,0,4086.55319670624,29661.7282268104,12787.5875150521,2557.51750301041
"L.2017.NAM-46.09.R",0,0,0,0,0,0,0,0,0,4710.65821057335,0,0,0,0,0,0,6096.14591956551,38851.4336370917,0,2493.87787618589
"L.2017.NAM-48.09.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811304.087894049,0,59391.2397921307
