"","df9f127f34e52758c22bb8768ea9dd1d","X726f137d48a9a16971165106f5accbc3","X192b9d0e30798cb5d4a686f2b25b046b","X8bb6ba264b60216d22b221d5c6c0992e","X4603641854a42087dd05682bc365b2b2","X31e4d9092a2fe5d08a565a11d5c0a510","X065259ec202538d9a00670abd44fc85d","d2db2c90c9f6401ed400e43cd16e7846","X71c8a0b854b50dd6b2845d87007e5ad4","X90c8784ec39588e5031c9e4950c88efa","X519335ba0a9cc277b802a53b482bce49","f3eefe548d5b25a70eff6ded2ac754cb","f99a6053aeb89ad886d5acae4e1e77b5","c50df3a28f2c5b2ed3fcec3c8c0dbce3","fbdfdbc22fcb0362b5fe57dcee55fed6","X23769d724c8f54a20fc5503775e0d215","X43c74972f95d6719e0a57265faf133ff","X27411089f2f049c2a454db6aac7c5d0b","a4d62e1254481f8aa0a1fd7b2f28dddf","fcca31a8dba0488eb8879120277f149b","X6621ec621365d2e452925f53b69d7fa8","ad568b74428dbece1b14338b18a261b9","X733666313c4bfa4aee6abca3478eed6e","X72c7f54f73e0c27bef2f8ea144f989eb","X0b85d04d31bae6800df285cbbea2976c","X98cedaeb6530038a7c03909a8fffac4d","X5dbb8b0090393f98803bec4188360a21"
"L.2016.NAM-13.01.R",0,0,0,462.188636514636,0,0,0,0,0,0,0,0,0,0,0,0,1386.56590954391,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-13.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-13.03.R",0,0,0,20025646.217183,0,0,0,0,0,0,0,0,0,0,0,0,5399.20361746642,0,0,0,0,0,0,0,839.310925729976,0,0
"L.2016.NAM-13.04.R",0,0,0,628.478727959055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.492909319685,0,0,0,0,0
"L.2016.NAM-13.05.R",0,0,0,0,0,0,136.27053107181,0,0,1196.8762088591,0,0,0,0,0,108.775164454452,1704.1073848398,0,0,0,0,0,68.2135219664594,0,0,0,0
"L.2016.NAM-13.06.R",51.7420413464185,0,0,236.870140090923,0,0,0,0,0,94.7480560363691,0,0,0,0,0,0,288.612181437341,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-13.07.R",0,0,0,0,0,0,120.387648227292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.292684559393,0
"L.2016.NAM-13.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-13.09.R",0,0,0,96.9652894565399,0,0,271.813454426227,0,0,0,0,0,0,0,0,0,762.529179956996,0,0,0,0,0,0,0,170.419626376272,0,0
"L.2016.NAM-13.10.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.01.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.856434492048,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.02.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.03.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085.10182324234,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.04.R",0,0,0,375.893922735004,0,0,0,0,0,733.225182618897,0,0,0,0,0,911.029393569925,587.000225313668,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.05.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.443462034324,89.8053021050363,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.06.R",0,0,0,0,0,0,319.498600196758,0,0,0,0,0,0,0,0,260.297617788739,532.497666994596,0,0,0,0,0,0,0,319.498600196758,0,0
"L.2016.NAM-14.07.R",0,0,0,0,0,0,0,0,0,262.406066828265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.406066828265,0,0
"L.2016.NAM-14.08.R",0,0,0,0,0,0,0,0,0,0,0,0,0,2336.7045164117,0,0,798.269352044767,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-14.09.R",0,0,0,0,0,0,284.395402037338,0,0,0,0,0,0,0,0,0,514.176448644926,0,0,0,0,0,0,0,1713.20884015762,0,0
"L.2016.NAM-14.10.R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066.90849925983,1063.7236977695,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.01.R",31442.4210664221,0,0,0,0,0,0,0,0,0,147.251007749084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.02.R",0,0,203.27863020695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.03.R",0,0,0,0,0,0,0,0,0,0,896.847580753651,0,0,0,0,597.898387169101,0,0,0,0,0,0,0,0,0,0,0
"L.2016.NAM-17.04.R",134.724929585174,0,0,0,0,0,480.266503474391,0,0,134.724929585174,134.724929585174,0,0,0,0,202.08739437776,556.358218193261,0,0,0,0,0,0,0,0,0,0
